file,sent_idx,char_idx,sentence,phrases,lem_phrases
1899-00a,618,98500,"Diese rasche Entwicklung.
lockte naturgemäß das Kapital an,
vor Allenn.",Kapital | Das Kapital,kapital | der kapital
1899-00a,619,98572,"das englische: 1895 finden wir bereits in Transvaal 170 Goldminen=Gesell¬
schaften mit einem Kapital von 870 Millionen Mark, 1896 wuchs die Anzahl",Kapital,kapital
1899-00a,620,98721,"Heinrich Cunow: Die Transvaalkrift
29
der Kompagnien auf beinahe 200 mit nahe an 1150 Millionen Mark Kapital.",Kapital,kapital
1899-00a,736,111317,"Alle die¬
maschinellen Hilfsmittel, welche auch in die Buchbinderei im letzten Jahrzehnt ein¬
geführt worden sind, kommen fast ausnahmslos der Großproduktion zu Gute, da der
Kleinbetrieb in Folge seiner meist handwerksmäßigen Produktion einerseits keine
Verwendung für sie hat, andererseits ihm nicht die nöthigen Kapitalien zur Ver¬
fügung stehen, um sich die Maschinen &. anzuschaffen.",Kapital,kapital
1899-00a,766,116857,"namentlich dem Gerede von der unpartei¬
ischen „Staatsgewalt"", die mit der Hand einer überirdischen Gerechtigkeit den
Klassenkampf zwischen Kapital und Arbeit schlichten soll, steht er mit erfrischender
Klarheit gegenüber.",Kapital,kapital
1899-00a,850,130940,"Saint=Simon eine wissenschaftliche Schule und ein großes industrielles Eta¬
blissement als Experimente gründen und sich das dazu nöthige Kapital durch
diese Spekulationen verschaffen wollte.",Kapital,kapital
1899-00a,961,146372,"Herr Grün p. 87: „Die freie Konkurrenz war ein unreiner, ein konfuser
Begriff, ein Begriff, der in sich selbst eine neue Welt von Kampf und Unglück,
enthielt, den Kampf zwischen Kapital und Arbeit und das Unglück des kapital¬
losen Arbeiters.",Kapital,kapital
1899-00a,1178,182361,"Wer sich für die Geschichte der „ursprünglichen
Akkumulation"" für die Blutgeschichte des Kapitals interessirt, wird aus diesen
Kapiteln viel lernen können, denn in der That hat das Wucher- und Handelskapital in
Rußland wahre Orgien gefeiert, während auf der anderen Seite als Resultat dieser
schrankenlosen Ausbeutung eines Bauernvolks der Hunger in Permanenz erscheint.",Kapital | Das Kapital,kapital | der kapital
1899-00a,1693,260406,"Nach einem bibliographischen Ueberblick über die verwickelte Frage des funda¬
mentalen Wider
ruchs, der zwischen dem ersten und dem dritten Bande des¬
„Kapitals“ bestehen soll, kommt der Autor dahin, die Doktrin von dem Werth¬
gleich Arbeit zu verwerfen und so weiter, bis zu der Behauptung, daß Marx nicht.",Kapital | Das Kapital,kapital | der kapital
1899-00a,1705,262336,"Wenn es aber so leicht ist, den historischen Materialismus zu Staub zu
rmalmen, wenn die Auffassung der Klassenkämpfe als eines Prinzips geschicht¬
licher Dynamik nur eine irrige Generalisation falsch verstandener Thatsachen ist,
wenn die Erwartung des Kommunismus durchaus utopistisch, wenn die Lehren
des „Kapitals“ von so offenkundiger Unhaltbarkeit, wenn all die Grundlagen
nunmehr zerstört sind, warum giebt sich dann der Autor die Müihe, noch weitere
zweihundert Seiten über Recht, Ethik, Religion u. s. w. zu schreiben, also über
die Systeme, die er ideologisch nennt?",Kapital | Das Kapital,kapital | der kapital
1899-00a,1736,266468,"Das Kapital ist nur die wirthschaft¬
liche Umschreibung des Faustschen Mephistopheles (sie! S. 516: Wers nicht.
glaubt, sehe dort
selbst nach!).",Kapital | Das Kapital,kapital | der kapital
1899-00a,2359,365630,"zusetzen, eine Theorie, die, beiläufig bemerkt, bedenkliche Aehnlichkeit mit der
Theorie der Aushöhkung des Kapitals hat, die David in Hannover entwickelte.",Kapital | Das Kapital,kapital | der kapital
1899-00a,2365,366613,"Nicht die Ex¬
propriation des großen Kapitals bewirken diese Genossenschaften, sondern die
des kleinen Zwischenhandels.",Kapital,kapital
1899-00a,2379,367961,"Aber zum mindesten dort, wor
Zwischenhandel und industrielles Proletariat einander nicht feindselig gegenüber¬
stehen, sondern Hand in Hand den politischen Kampf gegen das Kapital führen,
hat unsere Partei keine Ursache, sich mit den Konsumvereinen zu identiflziren.",Kapital | Das Kapital,kapital | der kapital
1899-00a,3026,481318,"Von Stein unterscheidet er sich hier, indem
er in den Text setzt, was bei Stein in einer Note steht, indem er den Eingangs¬
passus der Adresse wegläßt, indem er konds de production (produktives Kapital),
mit „Grundvermögen“ und dassement social des individus (gesellschaftliche
Klassificirung der Individuen) mit „gesellschaftliche Ordnung der Einzelnen“ übersetzt.",Kapital,kapital
1899-00a,3080,490603,"Daß die Fouriersche Theilung zwischen
Kapital, Talent und Arbeit einen prächtigen Stoff zu bretter Klugthuerei bietet,
daß man hier über die Unmöglichkeit und Ungerechtigkeit der Theilung, über das
Hereinkommen der Lohnarbeit usw.",Kapital,kapital
1899-00a,3081,490834,"weitläufiges Gerede machen kann, ohne diese
Theilung aus dem wirklichen Verhältniß von Arbeit und Kapital zu kritisiren,
bedarf keiner weiteren Erwähnung.",Kapital,kapital
1899-00a,3385,541515,"Neben
einer gutet spanischen Ausgabe des ersten Bandes von Marx' „Kapital“, über¬
setzt vom argentinischen Genossen B. Justo, besitzen die spanischen Sozialisten eine
Uebersetzung der Devilleschen Bearbeitung des „Kapital“, ferner Uebersetzungen,
von Marx' „Elend der Philosophie“, Engels' „Ursprung der Familie"", Devilles
„Prinzipien des Sozialismus"" Ferris „Sozialismus und pøsitive Wissenschaft“.",Kapital | Das Kapital,kapital | der kapital
1899-00a,4500,719169,"Um dieselbe Zeit fingen auch
die anderen Mächte Europas an, die Gier nach überseeischen Besitzungen zu ent¬
wickeln, nicht um sie dem internationalen Handel und der internationalen kapte
talistischen Ausbeutung zu erschließen, sondern um in ihnen dem eigenen Handel,
dem eigenen Kapital eine bevorzugte Stellung zu schaffen.",Kapital,kapital
1899-00a,4510,720756,"durch stete Erweiterung
dieses Reiches, ständige Eroberung reicher Kolonialgebiete, die dem plünderungs¬
süchtigen Kapital reiche Ernte versprachen, also durch Schaffung eines „größeren¬
Britannien“, eines ungeheuren Weltreichs (Empire; daher das Wort Imperia¬
lismus), das ganz abhängig wäre von der Kapitalistenklasse des kleinen Britannien.",Kapital,kapital
1899-00a,5305,845085,"Daß dieser Zuschlag zu gering ist für eine so hochentwickelte Landwirth¬
schaft wie die badische, wird Jeder zugeben; rechnet man doch sonst auf 100 Mark¬
landwirthschaftliches Grund- und Gebäudekapital 24 bis 40 Mark Betriebs¬
kapital.",Kapital,kapital
1899-00a,5377,850652,"Sie ergab folgende Ziff
100 selbständige oder nahezu selbständige Landwirthe entfallen a) solche ohne
Kapital und ohne Schulden 41,1 Prozent, b) solche nur mit Kapital 21,2 Pro¬
zent, c) solche mit Kapital und Schulden 11,2 Prozent, d) solche nur mit
Schulden 26,5 Prozent.",Kapital,kapital
1899-00a,6097,944632,"Er scheint
wenn
für diesen Fall wenigstens, anzunehmen, denn er sagt niit Bezug auf die
das,
vorgeführten Zahlen ausdrücklich, daß sie „wohl deutlich darauf hinweisen, daß
das „Marxsche Dogma"" für das Grundeigenthum () nicht minder gilt, wie für
Die Annahme, daß die Konzentration des Hypothekenbesitzes
das Kapital""
durch die großen Bodenkreditanstalten gleichbedeutend sei mit einer Konzentration.",Kapital | Das Kapital,kapital | der kapital
1899-00a,6111,946545,"Dem gegenüber ist das eigene Kapital, mit dem sie
arbeiten, verhältnißmäßig gering.",Kapital,kapital
1899-00a,6132,948245,"Das Kapital, das sie auf Hypotheken auslethen, ver¬
schaffen auch diese Anstalten sich durch Ausgabe von Pfandbriefen, die als Jn¬
haberpapiere mit Kouponbogen ausgestattet wie andere öffentliche Werthpapiere,
auf den Markt gebracht werden.",Kapital | Das Kapital,kapital | der kapital
1899-00a,6136,949292,"Noch weiter geht diese Zerstreuung, wenn Sparkassen oder Ver¬
sicherungsanstalten ihre verfügbaren Kapitalien in Hypotheken oder Hypotheken¬
pfandbriefen anlegen.",Kapital,kapital
1899-00a,6223,961695,"In der
raxis läßt sich überhaupt die reine Grundrente nicht von der Betriebsrente,
trennett.
in Fällen, wo das geliehene Kapital dem Boden selbst zu Meliorations¬
zwecken einverleibt wird, hört auch die theoretische Scheidung auf.",Kapital,kapital
1899-00a,6224,961926,"Das ein¬
geschossene Kapital wird untrennbar mit dem Boden vereinigt;",Kapital,kapital
1899-00a,6228,962179,"266
— 11 —
Fallen, wo das geliehene Kapital in Wirthschaftsbauten, Maschinerie, Vieh &.
verwandelt wird, ist die Verflechtung mit der Grundrente untreunbar, und es
Uäuft auf eine theoretische Spielerei hinaus, in solchen Fällen sagen zu wollen,
der Mann muß jetzt einen Theil seiner „Grundrente“ an den Hypothekengläubiger,
abgeben.",Kapital,kapital
1899-00a,6344,979033,"Ferner erhält die Direktion zwei Antheile als Ent¬
schädigung für Abnutzung des Theaterfundus (eigentlich als Ve¬
insung des Kapitals,
das in ihm steckt), sowie zwei Theile als Deckung für die Reisekosten bei Uebersied¬
lungen der Truppe, zusammen sind also vierzehn Theile vorhanden.",Kapital | Das Kapital,kapital | der kapital
1899-00a,6380,983699,"Sehen wir uns nun einmal die Verzinsung des Kapitals an, das der Fundus¬
repräsentirt:
10 verschiedene Dekorationen sammt Koulissen für ein Saaltheater,
(mehr sind es nie) im Werthe von
50 Gulden
Kostüme, sehr primitiv, gewöhnlich alt gekauft, schäbig,
150 —
Noten, Bücher, Rollen höchstens.",Kapital | Das Kapital,kapital | der kapital
1899-00a,6382,984018,"Für diese 500 Gulden Kapital erhält der Unternehmer, immer nach der
Tabelle gerechnet (in 5 Monaten 2 & 47,75 = 95,50 Gulden, in 12 Monaten —)
229,20 Gulden Zinfen oder 45,84 Prozent.",Kapital,kapital
1899-00a,8583,1289797,"Die Kritik, die von den
hervorragenden bürgerlichen Oekonomen (Lexis, Böhm-Bawerk &c.) nach dem Er¬
scheinen des dritten Bandes „Kapital"" an der Marxschen Theorie geübt wurde,
ist in der sozialistischen Literatur fast unbeachtet geblieben.",Kapital,kapital
1899-00a,8585,1290305,"Und doch scheint eine Auseinandersetzung hinsichtlich derjenigen
Punkte, von denen Schmidt anerkennt, daß Böhm=Bawerk wirklich vorhandene
Unklarheiten der Marxschen Werthlehre aufdeckt, selbst dann unerläßlich, wen n
mant Schmidts Auffassung zustimmt, daß die Arbeits-Werththeorie mit den im
dritten Bande „Kapital"" von Marx gegebenen Erweiterungen einen anderen Sinn,
für die Marxsche Analyse der kapitalistischen Wirthschaft erhält, als nach dem,
ersten Bande gefolgert wurde.",Kapital,kapital
1899-00a,8587,1290835,"Ausdrücklich erklärt er zur Vervollständigung der im „Kapital“ niedergelegten,
Theorie eine schärfere Durcharbeitung des Werthgesetzes für geboten, da dasselbe,
nach den Entwicklungen des dritten Bandes über Preis und Profitrate, in seiner,
von Marx im ersten Bande entwickelten Form nur als Hypothese gelten könne.",Kapital | Das Kapital,kapital | der kapital
1899-00a,8605,1293256,"„Die verschiedenen Proportionen“, sagt Marx hierüber, „worin
verschiedene Arbeitsarten auf einfache Arbeit als ihre Maßeinheit reduzirt sind,
werden durch einen gesellschaftlichen Prozeß hinter dem Rücken der Produzenten
festgesetzt und scheinen ihnen daher durch das Herkommen gegeben“ („Kapital“, I.
2. Auflage, S. 19).",Kapital,kapital
1899-00a,8619,1295762,"Der dritte Band des „Kapital“ hat manche,
Sätze bestätigt, die in der im „To-Day“ ausgefochtenen Polemik zwischen Anhängern der
Jevonsschen und solchen der Marxschen Werththeorie von den Ersteren ihren Widersachern,
entgegengehalten wurden.",Kapital | Das Kapital,kapital | der kapital
1899-00a,8690,1307768,"Hinsichtlich dieses Punktes hat dagegen Marx im
„Kapital"", zweite und folgende Auflage, auf Grund der Angaben eines Lancashirer,
Fabrikanten aus dem Jahre 1871 ein Beispiel vorgeführt.",Kapital | Das Kapital,kapital | der kapital
1899-00a,8697,1309089,"Macht einen Preisunterschied von 4½ Pence pro Pfund, was Engels im
dritten Bande des „Kapital"" (S. 50) als ein dem Unternehmer selbst für die
damalige Zeit ausnahmsweise günstiges Verhältniß bezeichnet.",Kapital | Das Kapital,kapital | der kapital
1899-00a,8993,1347893,"Durch diesen wurde eine Aktiengesellschaft für Bau, Ver¬
kauf und Vermiethung von Arbelterwohnungen geschaffen, deren Kapital von
250000 Fraucs auf folgende Weise gezeichnet werden sollte: 200000 Francs.",Kapital | Das Kapital,kapital | der kapital
1899-00a,9091,1361958,"Dagegen wirkt der Kapitalismus hygienisch, da er die kleineren, für die Einführung
hygienischer Maßnahmen zu kapitalsschwachen Betriebe mit Vernichtung bedroht und
Großbetriebe schafft, wo freilich vielfach der gute Wille, aber nicht das Kapital zur¬
Hygiene mangelt.",Kapital | Das Kapital,kapital | der kapital
1899-00a,9325,1386471,"Trotz der größen Anzahl von
Schriften, die er anführt, hat er keine Ahnung von dem, was Marx im ersten
Bande des „Kapitals"" Grundlegendes zu diesen Fragen beigetragen hat.",Kapital | Das Kapital,kapital | der kapital
1899-00a,9684,1444563,"Wir haben als Ausgangspunkt die abstrakt menschliche Arbeit, wie Marp¬
sie im ersten Kapitel des „Kapital"" als Schöpferin des Waarenwerths definirt.",Kapital | Das Kapital,kapital | der kapital
1899-00a,9759,1455354,"Indeß die Proportion von Lohn¬
zu Produkt (bezw. Ertrag) hängt nicht nur von der Lohnhöhe ab, sie wird
in hohem Grade bedingt durch das Verhältniß des Lohnkapitals zu dem, was
Marx das konstante Kapital nennt.",Kapital,kapital
1899-00a,9765,1456425,"Ein anderes Bedenken gegen den zuletzt behandelten Satz ist, daß er eine
Abhängigkeit der Leistungsfähigkeit des Arbeiters von der Lohnrate unterstellt,
Es sei hierbei bemerkt, daß Buch an keiner Stelle zeigt, daß ihm bei Abfaffung
seiner Arbeit der dritte Band „Kapital“ bekannt war.",Kapital,kapital
1899-00a,9803,1462991,"Seit dem Erscheinen
des dritten Bandes „Kapital"" kann über die Nothwendigkeit, in diesem Punkte
Klarheit zu schaffen, kein Zweifel mehr bestehen.",Kapital,kapital
1899-00a,10367,1558636,"Marx sagt in dem dritten Bande seines „Kapital“, es set eines der großen
Resultate der kapitalistischen Produktionsweise, „daß sie das Grundeigenthum
einersetts von Herrschafts- und Knechtschaftsverhältnissen völlig loslöst, anderer¬
seits den Grund und Boden als Arbeitsbedingung gänzlich vom Grundeigenthum¬
und Grundelgenthümer trennt, für den er nichts welter vorstellt, als eine bestimmte
Geldsteuer, die er vermittelst seines Monopols vom industriellen Kapitalisten, dem
Pächter, erhebt; so sehr den Zusammenhang loslöst, daß der Grundeigenthümer
sein ganzes Leben in Konstantinopel zubringen kann, während sein Grundeigen¬
thum in Schottland liegt"" (III 2, S. 156, 157).",Kapital,kapital
1899-00a,10414,1566343,"Ich fürchte
jetzt, doch nicht klar genug geworden zu sein, denn um mich zu widerlegen, weiste
mich David auf die badische Statistik hin, wobei er gerade jene Elemente zusammen¬
wirft, deren Auseinanderhaltung die Vorbedingung für die Untersuchung unserer
These ist, Real- und Personalverschuldung einerseits, Kapital und
Grundbesitz andererseits.",Kapital,kapital
1899-00a,10496,1577524,"er wird betrachtet als ein Kapital, dessen
erzinsung die Rente bildet.",Kapital,kapital
1899-00a,10513,1579757,"Der Preis des Bodens wird nich te,
nach der Menge der Arbeit oder des Kapitals berechnet, die darin stecken, sondern
nach der Höhe der Grundrente, die er abwirft.",Kapital | Das Kapital,kapital | der kapital
1899-00a,10821,1625145,"sie stecken ja schon heute ihren
Ueberschuß an Kapital in Unternehmungen im Ausland, namentlich in Rußland.",Kapital,kapital
1899-00a,11529,1717296,"Die Frage ist also die: Bedeutet eine Konzentration von Kapital oden
Grundeigenthum keine Konzentration, wenn sie mit geliehenem Gelde durch¬
geführt wird?",Kapital,kapital
1899-00a,11532,1717554,"Wenn eine Aktiengesellschaft zehntausende
Prioritätsobligationen ausgiebt, um zehn Unternehmungen zu erwerben, etwa, um
eine Vertrustung des Industriezweigs durchzuführen, so bedeutet das eine Kon¬
zentration von Kapital gegenüber den Arbeitern, wie gegenüber den Kom¬
sumenten, die statt mit zehn Unternehmungen mit einer einzigen zu thun bekommen.",Kapital,kapital
1899-00a,11533,1717904,"Vom Standpunkt des anlagesuchenden Kapitals auf der Börse mag dagegen diese
Operation als Dezentralisation von Kapital erscheinen.",Kapital,kapital
1899-00a,11536,1718356,"Wollte man hier von Dezentralisation sprechen, dann bedentete jede
Vergesellschaftung von Kapital eine Dezentralisation desselben;",Kapital,kapital
1899-00a,11540,1718841,"Wenn wir von der Konzentration des Kapitals oder des Grundeigenthumns
im marxistischen Sinne reden, so neinen wir dies im Sinne eines Prozesses, der
die Zahl der indtviduellen, der privaten Eigenthümer von Produktions¬
mitteln verringert;",Kapital | Das Kapital,kapital | der kapital
1899-00a,11542,1719239,"Das hielt ich für so allgemein bekannt, daß es
mir überflüssig erschienen wäre, den Satz zu kommentiren, worin ich sage: diee¬
Zunahme der in Hypothekenbanken, Sparkassen &c. konzentrirten Hypotheken „weist
wohl deutlich darauf hin, daß das Marrsche Dogma' für das Grundeigenthum
nicht minder gilt, wie für das Kapital"" (S. 89).",Kapital | Das Kapital,kapital | der kapital
1899-00a,11543,1719568,"Wie vom Standpunkt des Arbeilers die Konzentration des Kapitals mit
ihren Folgen für ihn dieselbe bleibt, ob sie die Unternehmer mit eigenem oder
geliehenem Gelde vornehmen, so bleibt es für das soziale Verhältniß des Land¬
wirths zu seinem.",Kapital | Das Kapital,kapital | der kapital
1899-00a,11556,1722163,"Da er aber gleich David in der Konzentration der
Hypotheken durch gesellschaftliche Institute eine Dezentralisirung des Grund¬
eigenthums sieht, weil diese Institute ihre Kapitalien durch Konzentrirung zahl¬",Kapital,kapital
1899-00a,12906,1918540,"Die Ueberlegenheit dieser Rowton-Häuser, die keine Philanthropie, oder
wenigstens keine Geschenke an die Logirgäfte darstellen, sondern das in sie gesteckte Kapital:
zu 4 bis 5 Prozent verzinsen, ist so angenfüllig, daß der Grafschaftsrath selbst jüngste
beschlossen hat, in Süldost-London ein Logirhaus nach dem Rowtonschen System zu erbauen.",Kapital,kapital
1899-00a,13677,2034097,"Dagegen bedarf es
zur Förderung der Industrie und zur stärkeren Heranziehung fremder Kapitalien
nur einer festen, sicheren Währung, des Zollschutzes russischer Fabrikate und recht¬
licher Gleichstellung des fremden Kapitals mit dem einheimischen.",Kapital,kapital
1899-00a,13679,2034666,"Thatsächlich ist denn auch das in Bank-, Handels-, Schiffahrts- und Industrie¬
unternehmungen angelegte Aktienkapital seit April 1898 bis August 1899 um nicht
weniger als über 700 Millionen Mark gewachsen: eine Ziffer, deren Bedeutung man
erst dann völlig versteht, wenn man danebenhält, daß im Jahre 1899, trotzdem dieses
seit 1872 das beste aller Gründerjahre war, in Deutschland nur 364 Aktiengesell¬
schaften mit 544 Millionen Mark Kapital neu gegründet worden sind.",Kapital,kapital
1899-00a,13682,2035394,"Zum
industriellen Gedeihen gehört nicht nur Kapital, sondern auch ein konsumfähiges
Absatzgebiet und eine intelligente, geschulte Fabrikarbeiterschaft.",Kapital,kapital
1899-00a,14600,2146124,"Der Unterschied gegen früher wäre nur der, daß diese
Minen dann mehr der Entwicklung des südafrikanischen Kapitals und weniger
der des englischen dienen würden.",Kapital,kapital
1899-00a,14746,2167198,"Das Kapital, namentlich das Handels- und Finanzkapital einer jeden
naturnothwendig beständiger.",Kapital | Das Kapital,kapital | der kapital
1899-00a,14754,2167829,"aber auch wieder neue Gegensätze zwischen ihnen
Wer auf dem kapitalistischen Standpunkt steht, wer der Ansicht ist, die
Ausdehnung der Macht des Kapitals sei für absehbare Zeit das einzige Mittel,
das Gedeihen der Gesellschaft zu sichern, der wird auch getrieben, sich mit der
kapitalistischen Kolonial-, d. h. Eroberungspolitik zu befreunden.",Kapital | Das Kapital,kapital | der kapital
1899-00a,14767,2169921,"Proletariat einige sozialistische
Dieser „nationale Sozialismus"", der für das
Redensarten (Cant) und für das Kapital und seine Machthaber den Säckel der
Nation bereit hat, ist hier natürlich nicht gemeint, sondern der ihm gerade ent¬
gegengesetzte Sozialismus der Sozialdemokratie.",Kapital | Das Kapital,kapital | der kapital
1899-00a,14771,2170495,"Das Proletariat jeder Nation sucht seine Machtsphäre zu erweitern auf Kosten¬
des internationalen Kapitals;",Kapital,kapital
1899-00a,14778,2171786,"Der Standpunkt des selbständigen proletarischen Klassenkampfes, dessen
Endziel nicht die Harmonie zwischen Kapital und Arbeit, sondern die Ueber¬
dieser
windung der kapitalistischen Ausbeutung durch das Proletariat ist
Standpunkt bildet den einzigen Boden, den Militarismus erfolgreich zu bekämpfen,
dennt nur von diesem Standpunkt aus ist er unnöthig, überflüssig und schädlich.",Kapital,kapital
1899-00a,15951,2354711,"Deshalb brauchten sie nicht den Vorwurf zu verdienen, daß sie sich Illusionen
machten über die Harmonie zwischen Arbeit und Kapital.",Kapital,kapital
1899-00a,16539,2418724,"der verhältnißmäßig sehr starke Hausfleiß in vielen Landes¬
theilen, der in Folge der großen Steuern entstandene hohe Zinsfuß, der die Anlegung,
der Kapitalien in wenig profitablen industriellen Unternehmungen hindert, die politische
Verwirrung, in der sich das Land seit Jahren befindet u. f. w.",Kapital | Das Kapital,kapital | der kapital
1899-00a,16552,2419917,"3550000
Angelegtes Kapital (in Francs).",Kapital,kapital
1899-00a,16559,2420102,"1887
58063.
93421
Angelegtes Kapital (in Francs).",Kapital,kapital
1899-00a,16567,2420947,"10254000
4387000
Angelegtes Kapital (in Francs).",Kapital,kapital
1899-00a,16578,2421322,Angelegtes Kapital (in Francs).,Kapital,kapital
1899-00a,16591,2422280,"Die Zahl aller industriellen Arbeiter wird auf 7000 berechnet, das Kapital¬
das in privaten industriellen Unternehmungen eingelegt ist, auf 30 Millionen Francs,
Z. Balugdgitsch.",Kapital | Das Kapital,kapital | der kapital
1899-00a,17684,2598825,"Vielleicht in keinem anderen Industriezweig erweist sich das Kapital so brutal¬
und rücksichtslos gegen die Arbeiler, wie im Bergbau.",Kapital | Das Kapital,kapital | der kapital
