uuid,file,start_idx,end_idx,span_text,mentions_kapital,mentions_manifest
4562cc5c-22fb-4f31-8e80-6e2a943cd0e7,1897-98aCLEAN,136503,136592,Leser des „Kapital“ werden sich der Bemerkungen von Marx über diesen Gegenstand erinnern.,Yes,No
ffd39951-1049-49a3-9f04-13f75d0f57e0,1897-98aCLEAN,137018,138264,"„Ihr Erfolg bewies zunächst die Möglichkeit der Verbindung von Unter¬ richt und Gymnastik mit Haudarbeit, also auch von Handarbeit mit Unterricht und Gymnastik. Die Fabrikinspektoren entdeckten bald aus den Zeugenverhören der Schulmeister, daß die Fabrikkinder, obgleich sie nur halb so viel Unterricht genießen als die regelmäßigen Tagesschüler, ebenso viel und oft mehr lernen. (Hier folgt ein Zitat aus den Fabrikinspektorenberichten.) Weitere Belege findet man in Seniers Rede auf dem soziologischen Kongreß zu Edinburg 1863. Er zeigt hier auch u. A. nach, wie der einseitige, unproduktive und verlängerte Schultag der Kinder der höheren und mittleren Klassen die Arbeit der Lehre nutzlos vermehrt, während er Zeit, Gesundheit und Energie der Kinder nicht nur fruchtlos, sondern absolut schädlich verwüstet: Aus dem Fabriksystem, wie man im Detail bei Robert Owen verfolgen kann, entsproß der Keim der Erziehung der Zukunft, welche für alle Kinder über einem gewissen Alter produktive Arbeit mit Unterricht und Gymnastik verbinden wird, nicht nur als eine Methode zur Steigerung der gesellschaftlichen Produktion, sondern als die einzige Methode zur produktion vollseitig entwickelter Menschen.“ („Kapital“, Band I, 2. Auflage, S. 508/ Verh. ",Maybe,No
9063db2b-19b9-49b3-a198-c39639f1ce85,1897-98aCLEAN,144391,144811,"Sehr wahr¬ scheinlich hatte Marx dies im Sinne, als er schrieb, daß „die Zusammensetzung des kombinirten Arbeitspersonals aus Individuen beiderlei Geschlechts und der verschiedensten Altersstufen, obgleich in ihrer naturwüchsig brutalen, kapi¬ talistischen Form... Pestquelle des Verderbs und der Sklaverei, unter ent¬ sprechenden Verhältnissen umgekehrt zur Quelle humaner Entwicklung umschlagen muß“ (a. a. O. S. 517).",Maybe,No
978f3916-3f95-450f-8e8f-ac6219eef446,1897-98aCLEAN,238973,239303,"Sie erklären die Thatsache, daß Lassalle, unbeschadet der juristischen und philosophischen Form, in welche er oft nur erst den ökonomischen Inhalt zu schlagen wußte, Kommunist im Sinne des kommunistischen Eanifests gewesen ist, für eine bös¬ willige Erfindung der Marxisten und machen Lassalle zu einem Bundesbruder von Rodbertus.",No,Yes
e0a9c18f-682d-4871-bfc1-1cccf25568fd,1897-98aCLEAN,941145,941534,"Weil ich dies — im Einklang mit dem Kommunistischen manifest — für meine Pflicht hielt und dem zäsaristischen Polizeisozialismus der Herren Bismarck, Wagener, Schweitzer und Kompagnie entgegentrat, wurde ich 1865 aus Preußen aus¬ gewiesen; und ich war in der Partei einer der ersten, der bei Stichwahlen zwischen Oppositions= und Regierungskandidaten die Stimmabgabe für jene befürwortete.",No,Yes
62647cc4-b561-47e4-868a-ed88661c74ac,1897-98aCLEAN,1270152,1270255,In diesen Tagen und Wochen vollenden sich fünfzig Jahre seit der Geburt des Kommunistischen manifestes.,No,Yes
d29bcd53-f896-4602-9809-f0b14252fdd4,1897-98aCLEAN,1270800,1270945,an dem das Kommunistische manifest als eine bahnbrechende Macht in den vorgeschrittensten Kreisen der europäischen Arbeiterwelt zu wirken begann.,No,Yes
e8940409-3cc0-48c3-9312-d9c7d96d81aa,1897-98aCLEAN,1272262,1272870,"Nach dieser Seite hin war an dem kommunistischen manifest nur die klassische Form neu; seine epochemachende Bedeutung erhielt es durch das Verständniß, womit es die Elite der europäischen Arbeiterklasse ergr Was Engels über die Entstehungsgeschichte des kommunistischen manifestes zu sagen hatte, ist in weit verbreiteten Schriften enthalten; wenig bekannt oder 1807-98. I. Bb. Die Neue Zeit.  Maje. so gut wie unbekannt ist dagegen eine entsprechende Darstellung von Marx, die sich in seiner Streitschrift gegen Vogt findet und am fünfzigjährigen Gedenktage des manifestes wohl abgedruckt zu werden verdient",No,Yes
71088314-e903-4292-b79d-634b57d1b868,1897-98aCLEAN,1277447,1277710,"Der Kongreß, auf dem die Bundesmitglieder der Schweiz, Belgiens, Frankreichs, Deutschlands und Englands vertreten waren fand statt und nach heftigen, mehrwöchentlichen Debatten wurde das von Engels und mir abgefaßte manifest der kommunistischen Partei angenommen.",No,Yes
2fbad1fa-c7f5-40fc-9f4b-5697341c9bbf,1897-98aCLEAN,1280929,1281059,"Mit dem Kommunistischen manifest war das Ziel erreicht, das die Arbeiter¬ bewegung der vierziger Jahre überhaupt erreichen konnte.",No,Yes
2d6341a7-2df3-4e08-a75a-b7efe418bc44,1897-98aCLEAN,1281981,1282249,"Die Arbeiter dieser Zeit würden das Kommunistische Manifest gar nicht verstanden haben, und obgleich Marx sich beeilte, sofort wieder an dem Emanzipationskampfe theilzunehmen, so dachte er nicht daran, das manifest als Banner für das kämpfende Proletariat aufzurichten",No,Yes
945200af-1654-4ee8-8940-f6f5410a460f,1897-98aCLEAN,1282368,1282691,"Nichts kann irriger sein, als wenn bürger¬ liche Schriftsteller meinen, zwischen dem Kommunistischen manifest und den Statuten der Internationalen bestehe ein großer Unterschied, etwa in dem Sinne, daß Marr in den Statuten sich die Hörner abgelaufen habe, mit denen er im demisest alles habe über den Haufen stürzen wollen.",No,Yes
3db6f6e3-9ce2-465a-ae90-acf6914e31fd,1897-98aCLEAN,1282692,1282945,"Es gehört viel bürgerliche Ver¬ stocktheit dazu, in beiden Kundgebungen nicht dieselben revolutionären Anschauungen zu spüren, wie sie denn auch beide mit dem Schlachtruf der modernen Arbeiter¬ klasse schließen: Proletarier aller Länder, vereinigt euch!",No,Maybe
a3f1c20f-83ff-4525-bff5-87c39bcd166b,1897-98aCLEAN,1283258,1283466,"In der That begann das Kommunistische Mauifest in den siebziger Jahren das geistige Eigenthum von Hunderttausenden zu werden, wie es in den vierziger Jahren das geistige Eigen¬ thum von Hunderten gewesen war.",No,Yes
f04a6909-e3fd-4460-b053-a6801821c632,1897-98aCLEAN,1635114,1635474,"Und nun gestattet ihnen Marx selbst — sie müssen offenbar sehr erstaunen, wenn sie die Stelle im „Kapital“ lesen, und sich im tiefsten Grunde ihres Herzens blamirt fühlen, daß sie bisher viel marxistischer waren, als Marx selbst, der offenbar auch nach 1848 noch einiges beobachtete und dachte — von diesem Parteidogma abzuweichen“, und so seiten¬ lang weiter.",Yes,No
96c8c9d2-0f9f-43e0-951d-94d083d40705,1897-98aCLEAN,1637799,1638158,"Man merkt jetzt, weshalb Herr Platter aus allen möglichen Schriften von Marx, vom Kommunistischen manifest bis zum dritten Bande des „Kapital“, alle mög¬ lichen Zitate herauschleppt, aber um die Literatur der Internationalen in weitem Bogen herumgeht. Auch nicht mit einem Sterbenswörtchen erfahren die Leser seines Buches, daß es eine solche Literatur giebt.",Yes,Yes
71d8f47c-9178-455b-ad04-e5f742954305,1897-98aCLEAN,2007334,2007587,"Im „Kommunistischen manifest"", dessen Jubiläum wir in diesen Tagen begehen, und den in der gleichen Epoche entstandenen Schriften von Marx und Engels sind diese Faktoren durchaus nicht ignorirt, sondern im Gegentheil aus¬ drücklich hervorgehoben worden.",No,Yes
66c391cb-17d4-473f-a418-9561972f2057,1897-98aCLEAN,2686567,2687093,"Im Kommunistischen manifest heißt es: „Auf Deutschland richten die Kommunisten ihre Hauptaufmerksamkeit, weil Deutschland am Vorabend einer bürgerlichen Revolution steht, und weil es diese Umwälzung unter fortgeschritteneren Bedingungen der europäischen Zivilisation überhaupt und mit einem viel weiter entwickelten Proletariat vollbringt, als England im siebzehnten und Frankreich im achtzehnten Jahrhundert, die deutsche bürgerliche Revolution also nur das unmittel¬ bare Vorspiel einer proletarischen Revolution sein kann.""",No,Maybe
b94b566a-dcdd-4502-a45a-af4d24639bbb,1897-98aCLEAN,2691835,2692340,"Und so ist denn auch zur Wahrheit geworden, daß, wie es im Kommunistischen Manifest heißt, die deutsche bürgerliche Revolution nur das unmittelbare Vorspiel der proletarischen Revolution sein konnte. Mit dem seichten Absprechen über die „Revolutionsromantik“ hängt das seichte Absprechen über das Kommunistische Manifest zusammen, als sei es für seine Zeit eine ganz leidliche Stiliibung ge¬ wesen, aber vor der höheren Erleuchtung unserer glorreichen Tage könne es nur als überwundener Standpunkt gelten.",No,Yes
97ea7683-6b69-4a29-8293-b12b643ee0f3,1897-98aCLEAN,2693228,2693814,"Der wirkliche Irrthum, dem die Verfasser des Kommunistischen manifestes in diesem Satze verfallen sind, ist sehr wenig schmeichelhaft für die bürgerlichen Weltweisen, die so viel Aufhebens von den falschen Propheten Marx und Engels machen. Marx hat diesen Irrthum in den sechziger Jahren schon zugegeben, indem er sagte, bei der Abfassung des Kommunistischen manifestes hätten er und Engels allerdings angenommen, die deutsche Bourgeoisie würde im Kampfe mit dem Absolutismus und Feudalismus die gleiche Kourage beweisen, wie die englische Bourgeoisie in demselben Kampfe bewiesen habe.",No,Yes
c5c2e723-ee6b-4183-b569-0a78028db541,1897-98aCLEAN,2707241,2707637,"Karl Marx ist es, der sie im „Kapital“ begründet hat, wenn er im Kapitel über die Fabrikgesetzgebung diese „die erste bewußte und planmäßige Rückwirkung der Gesellschaft auf die naturwüchsige Gestalt ihres produktionsprozesses“ nennt und am Schlusse des gleichen Kapitels die hohe Be¬ deutung der Fabrikgesetzgebung für den Umwälzungsprozeß der Gesellschaft betont. Soviel hier über diesen Punkt.",Maybe,No
0d8f1a9e-1395-4130-8d84-cf9bf3f48340,1897-98aCLEAN,2714075,2714429,"So bezeichnet auch das Kommunistische manifest die Erhebung des Proletariats zur herrschenden Klasse als den „ersten Schritt"" in der Arbeiter Knevolution, als den „nächsten Zweck“ der Kommunisten als Ziel er Betregung aber die Errichtung „einer Assoziation, worin die freie Entwick¬ -7- lung eines Jeden die Bedingung für die freie Entwicklung Aller ist“",No,Maybe
5e9db389-8449-42c8-bb63-d9baafaa7f9d,1897-98aCLEAN,2714583,2714793,"Ich habe das „Kommunistische manifest“ angeführt, weil das Aktions¬ programm, das Parvus mir gegenüber für die einzig den Sozialismus repräsen¬ tirende Politik erklärt, das des „Kommunistischen manifestes“ ist.",No,Yes
208b191d-9b32-4e19-b976-9423d9c0b34e,1897-98aCLEAN,2715580,2716223,"Nun ist aber das manifest von seinen Urhebern selbst schon 1872 für theilweise veraltet erklärt worden, und zwar veraltet erklärt worden in aus¬ drücklicher Betonung u. A. „der praktischen Erfahrungen, zuerst der Februarrevolution und noch mehr der Pariser Kommune“. Welche praktische Erfahrungen der Februarrevolution gemeint sind, wird nicht gesagt, aber die der Kommune werden ausdrücklich als das Programm theilweise negirend bezeichnet. „Namentlich die Kommune"", heißt es, „hat den Beweis geliefert, daß,die Arbeiterklasse nicht die fertige Staatsmaschine einfach in Besitz nehmen und sie für ihre eigenen Zwecke in Bewegung setzen kann!“",No,Maybe
958abddd-6b9d-461b-a341-af08a5130720,1897-98aCLEAN,2716224,2716601,"Bezieht sich in diesem Punkte die Korrektur mehr auf die politische Form der Bewegung, was aber nothwendig auch den Charakter der ökonomischen Maßregeln in Mitleiden¬ schaft zieht, so haben die Verfasser des „Kommunistischen Manifests“ auch sonst allerhand geschrieben und hat die thatsächliche Entwicklung allerlei gezeitigt, was die Voraussetzungen des Eanifests erschüttert.",No,Yes
e0fd7ca7-f92a-4627-b277-9ca80e7a9c54,1897-98aCLEAN,2717702,2717926,"An alledem ist der Sozialismus nicht gestorben noch hat Jemand von „Umwälzung des Sozialismus“ geschrien, als Marx und Engels 1872 im Vorwort zum manifest ihrem 1847/48 noch verfochtenen Quasi=Jakobinismus den Abschied gaben",No,Maybe
8fe85c52-cffc-4bd3-af2f-18dc286972ae,1897-98aCLEAN,2738615,2739032,"Es ist doch lächerlich, nach fünfzig Jahren noch mit Sätzen des „Kommu¬ nistischen Manifests“ zu argumentiren, die ganz anderen politischen und sozialen Zuständen entsprechen wie die, mit denen wir heute zu thun haben. Man braucht kein Lobredner des Gegebenen zu sein, um den bedeutenden Fortschritt zu erkennen, der sich seit der Abfassung des Manifests in der staatsbürgerlichen Stellung der Arbeiter vollzogen hat.",No,Yes
4e56aacb-f4d4-41a4-b950-be24404612e3,1897-98aCLEAN,2928230,2928669,"Marx zieht im „Kapital“ mit schneiden¬ dem Hohne den Vergleich zwischen dem Fabrikgesetz von 1833, das die Arbeit für Kinder von neun bis dreizehn Jahren von 1833 an auf acht Stunden täglich beschränkte, bis 1836 aber zwölfstündige Arbeitszeit für sie gestattete, und dem Emanzipationsakt, der die Sklaverei abschaffte und in der Uebergangszeit den Pflanzern verbot, einen erwachsenen Neger länger als 45 Stunden pro Woche zu beschäftigen.",Yes,No
444db444-2f4d-49e9-a424-be82b7f7dab4,1897-98aCLEAN,2930791,2931444,"„Das Kapital flieht Tumult und Streit und ist ängstlicher Natur“, sagt ein von Marx in seinem „Kapital“ zitirter englischer Schriftsteller. „Das ist wahr, aber doch nicht die ganze Wahrheit. Das Kapital hat einen Horror vor Abwesenheit von Profit oder sehr kleinem Profit, wie die Natur vor der Leere. Mit entsprechendem profit wird Kapital kühn. Zehn Prozent sicher, und man kann es überall anwenden; zwanzig Prozent, es wird lebhaft; fünfzig ProZent, positiv waghalsig; für hundert Prozent Stampft es alle menschlichen Gesetze unter seinen Fuß; dreihundert Prozent, und es existirt kein Verbrechen, das es nicht rikirt — selbst auf Gefahr des Galgens.",Maybe,No
b730e110-9733-4a4b-a4f4-dcc029c98f7f,1899-00a,541515,541761,"Neben einer gutet spanischen Ausgabe des ersten Bandes von Marx' „Kapital“, über¬ setzt vom argentinischen Genossen B. Justo, besitzen die spanischen Sozialisten eine Uebersetzung der Devilleschen Bearbeitung des „Kapital“, ferner Uebersetzungen,",Yes,No
3d8ed18c-347f-473a-89d4-382c8f1ce95a,1899-00a,673218,673817,"Wahlvermandte Seelen. In Nr. 1, S. 30 des laufenden Jahrgangs der „Neuen Zeit"" brachten wir als humoristischen Beitrag die Ankündigung, daß nun endlich, nachdem mehr als fünfzig Jahre seit dem Erscheinen des „Kommunistischen Manifests"" verflossen sind, ein spürfinniges Menschenkind, Herr Dr. Ferdinand Gold¬ stein, in Gibbons „Geschichte des Niedergangs und Falles des römischen Kaiser¬ reichs"" die geheime Quelle entdeckt hat, aus der Marx und Engels ihre im Mantfest¬ niedergelegten Gedanken über den Verlauf der wirthschaftlichen Entwicklung der kapi¬ talistischen Produktionsweise bezogen haben",No,Yes
a3d2b5db-ddc4-426c-b26d-b92cebabbf52,1899-00a,675051,675292,"Man lese Gibbons monumentales Werk über den „Niedergang und Fall des römischen Reiches"", und man wird finden, woher jene historischen Reminiszenzen stammen, die im „Kommunistischen Manifest“ als Prophezeiung in die Zukunft, projizirt werden.",No,Yes
92302b85-f9c2-41c3-ae90-794544ca3c60,1899-00a,1290784,1291150,"Schmidt läßt darüber nicht den geringsten Zweifel. Ausdrücklich erklärt er zur Vervollständigung der im „Kapital“ niedergelegten, Theorie eine schärfere Durcharbeitung des Werthgesetzes für geboten, da dasselbe, nach den Entwicklungen des dritten Bandes über Preis und Profitrate, in seiner, von Marx im ersten Bande entwickelten Form nur als Hypothese gelten könne.",Yes,No
b905f258-40b3-4c4b-8f86-c82c3fac7d0c,1899-00a,1293256,1293577,"„Die verschiedenen Proportionen“, sagt Marx hierüber, „worin verschiedene Arbeitsarten auf einfache Arbeit als ihre Maßeinheit reduzirt sind, werden durch einen gesellschaftlichen Prozeß hinter dem Rücken der Produzenten festgesetzt und scheinen ihnen daher durch das Herkommen gegeben“ („Kapital“, I. 2. Auflage, S. 19).",Maybe,No
4c78cfde-95c6-4875-b11a-5c6e9ee3da04,1899-00a,1296910,1297264,"In der That sagt Marx selbst an einer wichtigen Stelle (Kapitel 5 des ersten Bandes): „Ist der Werth dieser Kraft (der Arbeitskraft) höher, so äußert sie sich aber auch in höherer Arbeit und vergegenständlicht sich daher () in den¬ selben Zeiträumen in verhältnißmäßig höheren Werthen“ („Arbeitsprozeß und Verwerthungsprozeß“ Band 1, 2. Auflage, S. 186).",Maybe,No
fb93c1a9-ca2c-4eec-929b-b760ee2d658b,1899-00a,1300004,1300109,"Er beruft sich darauf, daß Marx selbst den Werth auf Mengen „abstrakt menschlicher Arbeit“ zurück¬ führt.",Maybe,No
06165224-9d83-4214-8891-e5326171208a,1899-00a,1386471,1386642,"Trotz der größen Anzahl von Schriften, die er anführt, hat er keine Ahnung von dem, was Marx im ersten Bande des „Kapitals"" Grundlegendes zu diesen Fragen beigetragen hat.",Yes,No
86d85cb5-1734-4dd4-a130-f4d458bfe658,1899-00a,2718445,2718833,"Der Satz¬ von Marx über den Vergleich zwischen England und Deutschland in Bezug auf Arbeiterzustände gilt auch hier: „Sollte der deutsche Leser pharifäisch die Achsel¬ zucken ... oder sich optimistisch dabei beruhigen, daß in Deutschland die Sachen¬ noch lange nicht so schlimm stehen, so muß ich ihm zurufen: De te kabula, UIAITALUF es ist deine eigene Geschichte, die hier erzählt wird.",Maybe,No
c1cbe266-5f5a-42ed-8f2f-e7787b0613cb,1899-00a,3076258,3076591,"Ungefähr zu jener Zeit studirte der russische Philosoph das berühmte „Kapital"", welches bekanntlich die offizielle Wissenschaft aller Länder todtzuschweigen suchte. Lawroff anerkannte die Richtigkeit der soziologischen Theorien von Marx, einige¬ Einschränkungen oder, wie er selbst sagte, „Interpretationen“ derselben voraus¬ gesetzt",Yes,No
06ec890f-18ef-4ed9-a808-ebb30a3d30b2,1899-00a,3077177,3077440,"Nach Marx' Tode¬ schenkte Engels Lawroff die russischen Bücher, hauptsächlich offizielle Statistiken, aus der Bibliothek des Verfassers vom „Kapital“, welche mit bald heiter¬ spöttischen, bald entrüsteten Anmerkungen ihres ersten Besitzers versehen sind. cistenz.",Yes,No
8e04f865-e494-4fd7-8006-b07429bfb5c2,1900-01a,120744,121228,"Sie hatten schon im „Kommuni¬ stischen Manifest"" erklürt, daß die Arbetterklasse unweigerlich die Bourgevisie, zu unterstützen habe, sobald und soweit diese ernsthaft mit dem Absolutismus und dem Feudalismus anbinde, und sie hatten nach diesem Grundsatz währende der Revolutionsjahre gehandelt, aber sie meinten, daß man die absolutistisch¬ feudale Reaktion nicht wirkungsloser bekämpfen könne als unter der Finte eines allgemeinen Harmoniedusels zwischen Bourgepisie und Proletariat.",No,Yes
13683c5e-ba6c-4151-92ea-a5c77504dcf3,1900-01a,289472,289765,"Nun, als Karl Marx sein „Kapital“ schrieb, konnte er mit vollem Rechte annehmen, daß auch in der Landwirthschaft eine Konzentration der Betriebe stattfinden werde; er mußte das sogar annehmen, weil zu jener Zeit eine Konzentration der Betriebe thatsächlich stattfand und statt¬ gefunden hatte.",Yes,No
8e9be38a-bba7-4518-bfbd-052d23ce9232,1900-01a,312360,312801,"Im ersten Bande des „Kapital"" macht Marx im Anschluß an Robert Owen¬ gelegentlich die bedeutsame Bemerkung, daß die Erzlehung in der künftigen Gesell¬ schaft für alle Kinder, die ein gewisses Alter überschritten haben, produktive Arbeit mit Unterricht und Gymnastik verbinden werde, nicht nur als eine Methode zur Steigerung der gesellschaftlichen Produktion, sondern als die einzige Methode zur Produktion vollständig entwickelter Menschen.",Yes,No
423e48c4-5eae-4909-9ea9-01176ae5504e,1900-01a,315757,315911,"Der Zweck der sozialistischen Gesellschaft, „einer Afsoziation, worin die freie Entwicklung eines Jeden die Bedingung für die freie Entwicklung Aller ist“",No,Maybe
5ee6fd88-805d-4476-b0d7-9d84c0f33fdc,1900-01a,480066,480404,"Daß es so kommen würde mit der immer stärkeren Entwicklung der kapita¬ listischen Produktionsweise, steht schon im Kommunistischen Manifest geschrieben, und den deutschen Arbeitern ist es durch hundertfältige Erfahrungen längst in Fleisch und Blut übergegangen, daß die Regierung heutzutage nur der Kommis¬ der unterdrückenden Klassen ist",No,Yes
286ec3e3-8b8b-4a2c-ac25-dc3413e881e7,1900-01a,645981,646093,Das kommunistische Manifest entwickelt eine Reihe von Uebergangsmaßregelne für die Zeit der sozialen Revolution.,No,Yes
195abe21-6aa2-4cb4-95c1-fdf110b3c112,1900-01a,839295,839514,"Ich bin ein großer Bewunderer der Kassischen thevretischen Ausführungen im Kommunistischen Manifest, aber über die praktischen Forderungen, die es für ein Uebergangsstadium stellt, habe ich sehr abweichende Ansichten. I",No,Yes
6072c550-7181-4140-a2d2-b4762724ca75,1900-01a,839886,840093,"Auch rechneten die Verfaffer des Kommunistischen Manifests mit einer ausbrecheuden Revolution, die that¬ sächlich eintrat, und mit der Stellung der Arbeiterklasse in einer solchen gegen¬ über dem Bürgerthum.",No,Yes
09c396c5-8f0f-4e8a-82c1-fe38a28911dc,1900-01a,1094925,1095317,"Ich wies auf die theoretisch unhaltbaren Forderungen hin, die das Kommunistische Manifest für das von ihm erwartete, revolutionäre Uebergangsstadium aufstellt, nicht, weil ich annahm, daß wir vor einem solchen Stadium ständen, sondern um zu zeigen, daß auch Marx und Engels für Ausnahmszustände nicht vor Forderungen zurückschreckten, die sie selbst als ökonomisch, unzüreichend bezeichneten.",No,Yes
ee5b4631-d30f-4a6d-ab2a-1c67c33fef60,1900-01a,1095318,1095698,"Die von mir vorgeschlagenen Maßregeln selbst sind nicht dem Kommunistischen Manifest entnommen, das vielmehr als erste seiner „despotischen Eingriffe in das Eigenthumsrecht und in die bürgerlichen Produktionsverhältnisse“ für das repolu¬ tionäre Uebergangsstadium gerade die Forderung der Berliner Resolution aufstellt: Expropriation des Grundeigenthums (also auch der Bergwerke).",No,Maybe
6d016f0e-d94a-4763-b4af-32abed23f659,1900-01a,1173106,1173604,"Sie legt hohen Werth darauf, immer die Thatsache klargestellt zu haben, die schon im kommu¬ nistischen Manifest mit den Worten ausgesprochen worden ist, daß die moderne Staatsgewalt nur ein Ausschuß sei, der die Geschäfte der herrschenden Klasse zu verwalten habe. Sie ging ungern daran, als das Reichsamt des Innern sie wegen lumpiger zwölftausend Mark in Kontribution setzte, sie fand diesen An¬ spruch „etwas eigenthümlich"", aber sie weiß das Prinzip von dem einzelnen Falle un¬ zu unterscheiden",No,Maybe
f50c3a30-897f-48c2-8e2c-393ecf5f8d35,1900-01a,1352812,1353045,"Es ist fast gar nichts Bedeutendes, kein Kapital, von Karl Marx, kein Buckle oder etwas Aehnliches, kein Byron oder Mickiewicz, in den Jargon übersetzt, die Jargonliteratur hat auch wenig Tiefes an originalen Arbeiten hervorgebracht.",Yes,No
93e0008d-510d-48ae-903e-6aa9ecde2f1b,1900-01a,1437795,1438073,"Kurz, Jeder dient der Partei wie er kann, und es ist gerade diese Verschiedenheit der Initiativen, diese Mannigfaltigkeit der Bemühungen, die aus dem Vooruit zu Gent øder aus dem Maison du Peuple zu Brüssel wahre sozia¬ listische Eilande machen im weiten Ozean des Kapitalismus.",No,Maybe
bb88c081-e645-44e8-8999-84f24eadf9ee,1900-01a,1444351,1444536,"So vollendet sich allmälig in allen Ländern jene Orgaui¬ sation der Arbeit, deren großartigen Umriß Engels und Marx 1847 entwarfen, als sie das Kommunistische Manifest veröffentlichten.",No,Yes
50aeb4fc-e03a-44bb-97fa-ccdad037a1ec,1900-01a,1892755,1893149,"Der Brief enthält wirklich nichts als die Be¬ stätigung eines Verhältnisses, das schon im Kommunistischen Manifest als der in der modernen bürgerlichen Gesellschaft normale Zustand erläutert worden ist, und insoweit möchte sich die sozialdemokratische Presse zwar nicht einer gewohnten, aber doch einer ungewöhnlichen Uebertreibung schuldig machen, wenn sie ein großes Wesen davon machen würde.",No,Yes
c29d52dc-eed6-481b-afa1-817e37d3b4e8,1900-01a,2156647,2157690,"Engels zitirt Marx' „Kapital"" (ich vervollständige das Zitat): „Das Protektionsfystem war ein Kunstmittel, Fabri¬ kanten zu fabriztren, unabhängige Arbeiter zu expropriiren, die nationalen Pro¬ duktions- und Lebensmittel zu kapitalisiren, den Uebergang aus der alterthüm¬ lichen in die moderne Produktionsweise gewaltsam abzukürzen. Die europäischen Staaten rissen sich um das Patent dieser Erfindung, und einmal in den Dienst¬ das der Plusmacher eingetreten, brandschatzten sie zu jenem Behuf nicht nur eigene Volk indirekt durch Schutzzölle, direkt durch Exporiprämien u. s. w. In wie den abhängigen Nebenlanden wurde die Industrie gewaltsam ausgerodet zum Beispiel die irische Wollmanufaktur von England. Auf dem europäischen Das: Kontinent ward nach Colberts Vorgang der Prozeß noch sehr vereinfacht. dem ursprüngliche Kapital der Industriellen fließt hier zum Theil direkt aus¬ Staatsschatz. Warum — ruft Mirabeau — so weit die Ursache des Manufaktur¬ glanzes Sachsens vor dem siebenjährigen Kriege suchen? 180 Millionen Staats¬ schuldet.",Maybe,No
f4014c6d-838d-430b-9c6a-e55ca9394d4d,1900-01a,2165751,2166296,"Wie alles, was wir von Marx aus¬ jener Zeit besitzen, wie auch das „Kommunistische Manifest"", zeigt seine Rede¬ über den Freihandel nur die gewaltigen äußeren Umrisse des Gebäudes, der innere Aufbau fehlt noch. Engels konnte sich 1888 schon auf die zwei ersten Bände des „Kapital"" und noch vieles Andere stützen, doch fehlie der dritte, Band mit seinen wichtigen Untersuchungen über die Profitbildung, die Grund¬ rente und den Preis, die für die Lehre von der Konkurrenz und damit auch für die Beurtheilung der Handelspolitik unentbehrlich sind.",Yes,Yes
becc5598-a71f-44e8-93a9-8cd78e2834d4,1900-01a,2471594,2471899,"Die Grundlage der neuen Bewegung war das Kommunistische Manifest¬ von 1847, das nicht erst von Isegrim aus dem Schutte von Zeiten ausgegraben. worden, und Diejenigen, die ihr das geistige Gepräge gaben, die Lassalle, Marx, Engels, Liebknecht, waren gerade in der Schule der vierziger Jahre groß, geworden.",No,Yes
9530e601-7894-4937-adff-890a1e1c6613,1900-01a,2526159,2526499,"Er hat offenbar die Schlußsätze aus dem Kommunistischen Manifest im Auge, wo es heißt: „In Deutschland kämpft die kommunistische Partei, sobald die Bourgeoisie, revolutionär auftritt, gemeinsam mit der Bourgeoisie gegen die absolute Mon¬ archie, das feudale Grundeigenthum und die Kleinbürgeret.... Mit einem Worte, Les deux Méthodes, S. 8.",No,Maybe
52868a76-537b-4905-9bdb-9370b8e94d57,1900-01a,2532112,2532286,"Die Berufung Jaurés' auf das Kommunistische Manifest von Marx und Engels ist sømit ebenso unbegründet, wie seine Berufung auf die Erfahrungen, der deutschen Sozialdemokratie.",No,Yes
af6a713a-d125-4c09-9b2e-e1e3ae51f69f,1900-01a,2970143,2970603,"Durch saubere Ausftattung zeichnet, sich vor Allem die Bibliothéque Socialiste aus; warum aber gerade mit der hier¬ angezeigten Schrift die Sammlung eröffnet werden mußte, ist dem Referenten nicht ganz klar; andere seildem schon erschienene Bände, wie Vanderveldes „Collectivismef, oder angekündigte, wie das Kommuinistische Manifest oder die „Französischen Arbeiter¬ und Sozialistenkongresse“, hätten der Sammlung mehr den sozialistischen Stempel auf¬ gedrück",No,Yes
