file,file_offset,file_length
1896-97aCLEAN_chunk_000.txt,0,13911
1896-97aCLEAN_chunk_001.txt,13911,21234
1896-97aCLEAN_chunk_002.txt,35145,31970
1896-97aCLEAN_chunk_003.txt,67115,25442
1896-97aCLEAN_chunk_004.txt,92557,25545
1896-97aCLEAN_chunk_005.txt,118102,15855
1896-97aCLEAN_chunk_006.txt,133957,33497
1896-97aCLEAN_chunk_007.txt,167454,29767
1896-97aCLEAN_chunk_008.txt,197221,13958
1896-97aCLEAN_chunk_009.txt,211179,24217
1896-97aCLEAN_chunk_010.txt,235396,11598
1896-97aCLEAN_chunk_011.txt,246994,48372
1896-97aCLEAN_chunk_012.txt,295366,26172
1896-97aCLEAN_chunk_013.txt,321538,15371
1896-97aCLEAN_chunk_014.txt,336909,17263
1896-97aCLEAN_chunk_015.txt,354172,16264
1896-97aCLEAN_chunk_016.txt,370436,24126
1896-97aCLEAN_chunk_017.txt,394562,31000
1896-97aCLEAN_chunk_018.txt,425562,12027
1896-97aCLEAN_chunk_019.txt,437589,6551
1896-97aCLEAN_chunk_020.txt,444140,29595
1896-97aCLEAN_chunk_021.txt,473735,16006
1896-97aCLEAN_chunk_022.txt,489741,12428
1896-97aCLEAN_chunk_023.txt,502169,21696
1896-97aCLEAN_chunk_024.txt,523865,21798
1896-97aCLEAN_chunk_025.txt,545663,13726
1896-97aCLEAN_chunk_026.txt,559389,33216
1896-97aCLEAN_chunk_027.txt,592605,12503
1896-97aCLEAN_chunk_028.txt,605108,25123
1896-97aCLEAN_chunk_029.txt,630231,25428
1896-97aCLEAN_chunk_030.txt,655659,18080
1896-97aCLEAN_chunk_031.txt,673739,13564
1896-97aCLEAN_chunk_032.txt,687303,26144
1896-97aCLEAN_chunk_033.txt,713447,11547
1896-97aCLEAN_chunk_034.txt,724994,29511
1896-97aCLEAN_chunk_035.txt,754505,35339
1896-97aCLEAN_chunk_036.txt,789844,17010
1896-97aCLEAN_chunk_037.txt,806854,25579
1896-97aCLEAN_chunk_038.txt,832433,11386
1896-97aCLEAN_chunk_039.txt,843819,36839
1896-97aCLEAN_chunk_040.txt,880658,18887
1896-97aCLEAN_chunk_041.txt,899545,24319
1896-97aCLEAN_chunk_042.txt,923864,25363
1896-97aCLEAN_chunk_043.txt,949227,10727
1896-97aCLEAN_chunk_044.txt,959954,41942
1896-97aCLEAN_chunk_045.txt,1001896,5749
1896-97aCLEAN_chunk_046.txt,1007645,11815
1896-97aCLEAN_chunk_047.txt,1019460,17124
1896-97aCLEAN_chunk_048.txt,1036584,10417
1896-97aCLEAN_chunk_049.txt,1047001,22120
1896-97aCLEAN_chunk_050.txt,1069121,14581
1896-97aCLEAN_chunk_051.txt,1083702,40571
1896-97aCLEAN_chunk_052.txt,1124273,25930
1896-97aCLEAN_chunk_053.txt,1150203,19936
1896-97aCLEAN_chunk_054.txt,1170139,10852
1896-97aCLEAN_chunk_055.txt,1180991,8480
1896-97aCLEAN_chunk_056.txt,1189471,17140
1896-97aCLEAN_chunk_057.txt,1206611,39296
1896-97aCLEAN_chunk_058.txt,1245907,20942
1896-97aCLEAN_chunk_059.txt,1266849,19243
1896-97aCLEAN_chunk_060.txt,1286092,8290
1896-97aCLEAN_chunk_061.txt,1294382,12489
1896-97aCLEAN_chunk_062.txt,1306871,20593
1896-97aCLEAN_chunk_063.txt,1327464,23891
1896-97aCLEAN_chunk_064.txt,1351355,14829
1896-97aCLEAN_chunk_065.txt,1366184,17233
1896-97aCLEAN_chunk_066.txt,1383417,20705
1896-97aCLEAN_chunk_067.txt,1404122,9907
1896-97aCLEAN_chunk_068.txt,1414029,14657
1896-97aCLEAN_chunk_069.txt,1428686,12996
1896-97aCLEAN_chunk_070.txt,1441682,26660
1896-97aCLEAN_chunk_071.txt,1468342,34587
1896-97aCLEAN_chunk_072.txt,1502929,17476
1896-97aCLEAN_chunk_073.txt,1520405,7755
1896-97aCLEAN_chunk_074.txt,1528160,24370
1896-97aCLEAN_chunk_075.txt,1552530,11259
1896-97aCLEAN_chunk_076.txt,1563789,41448
1896-97aCLEAN_chunk_077.txt,1605237,18704
1896-97aCLEAN_chunk_078.txt,1623941,15468
1896-97aCLEAN_chunk_079.txt,1639409,7293
1896-97aCLEAN_chunk_080.txt,1646702,13987
1896-97aCLEAN_chunk_081.txt,1660689,12692
1896-97aCLEAN_chunk_082.txt,1673381,24219
1896-97aCLEAN_chunk_083.txt,1697600,34167
1896-97aCLEAN_chunk_084.txt,1731767,23028
1896-97aCLEAN_chunk_085.txt,1754795,18799
1896-97aCLEAN_chunk_086.txt,1773594,1060
1896-97aCLEAN_chunk_087.txt,1774654,9356
1896-97aCLEAN_chunk_088.txt,1784010,10656
1896-97aCLEAN_chunk_089.txt,1794666,26361
1896-97aCLEAN_chunk_090.txt,1821027,25052
1896-97aCLEAN_chunk_091.txt,1846079,8155
1896-97aCLEAN_chunk_092.txt,1854234,48900
1896-97aCLEAN_chunk_093.txt,1903134,12711
1896-97aCLEAN_chunk_094.txt,1915845,31214
1896-97aCLEAN_chunk_095.txt,1947059,7340
1896-97aCLEAN_chunk_096.txt,1954399,27193
1896-97aCLEAN_chunk_097.txt,1981592,22673
1896-97aCLEAN_chunk_098.txt,2004265,14207
1896-97aCLEAN_chunk_099.txt,2018472,6040
1896-97aCLEAN_chunk_100.txt,2024512,15362
1896-97aCLEAN_chunk_101.txt,2039874,36676
1896-97aCLEAN_chunk_102.txt,2076550,19630
1896-97aCLEAN_chunk_103.txt,2096180,16144
1896-97aCLEAN_chunk_104.txt,2112324,5523
1896-97aCLEAN_chunk_105.txt,2117847,11615
1896-97aCLEAN_chunk_106.txt,2129462,6378
1896-97aCLEAN_chunk_107.txt,2135840,11233
1896-97aCLEAN_chunk_108.txt,2147073,26751
1896-97aCLEAN_chunk_109.txt,2173824,18991
1896-97aCLEAN_chunk_110.txt,2192815,19282
1896-97aCLEAN_chunk_111.txt,2212097,23607
1896-97aCLEAN_chunk_112.txt,2235704,3488
1896-97aCLEAN_chunk_113.txt,2239192,10646
1896-97aCLEAN_chunk_114.txt,2249838,12635
1896-97aCLEAN_chunk_115.txt,2262473,20667
1896-97aCLEAN_chunk_116.txt,2283140,5741
1896-97aCLEAN_chunk_117.txt,2288881,25991
1896-97aCLEAN_chunk_118.txt,2314872,9037
1896-97aCLEAN_chunk_119.txt,2323909,42910
1896-97aCLEAN_chunk_120.txt,2366819,14181
1896-97aCLEAN_chunk_121.txt,2381000,27063
1896-97aCLEAN_chunk_122.txt,2408063,26420
1896-97aCLEAN_chunk_123.txt,2434483,26817
1896-97aCLEAN_chunk_124.txt,2461300,4866
1896-97aCLEAN_chunk_125.txt,2466166,19545
1896-97aCLEAN_chunk_126.txt,2485711,11324
1896-97aCLEAN_chunk_127.txt,2497035,41458
1896-97aCLEAN_chunk_128.txt,2538493,21898
1896-97aCLEAN_chunk_129.txt,2560391,19836
1896-97aCLEAN_chunk_130.txt,2580227,23142
1896-97aCLEAN_chunk_131.txt,2603369,17329
1896-97aCLEAN_chunk_132.txt,2620698,20822
1896-97aCLEAN_chunk_133.txt,2641520,43000
1896-97aCLEAN_chunk_134.txt,2684520,10680
1896-97aCLEAN_chunk_135.txt,2695200,5777
1896-97aCLEAN_chunk_136.txt,2700977,13125
1896-97aCLEAN_chunk_137.txt,2714102,13102
1896-97aCLEAN_chunk_138.txt,2727204,35211
1896-97aCLEAN_chunk_139.txt,2762415,20577
1896-97aCLEAN_chunk_140.txt,2782992,15556
1896-97aCLEAN_chunk_141.txt,2798548,31150
1896-97aCLEAN_chunk_142.txt,2829698,11301
1896-97aCLEAN_chunk_143.txt,2840999,39518
1896-97aCLEAN_chunk_144.txt,2880517,29324
1896-97aCLEAN_chunk_145.txt,2909841,17248
1896-97aCLEAN_chunk_146.txt,2927089,4111
1896-97aCLEAN_chunk_147.txt,2931200,15269
1896-97aCLEAN_chunk_148.txt,2946469,14047
1896-97aCLEAN_chunk_149.txt,2960516,23784
1896-97aCLEAN_chunk_150.txt,2984300,33110
1896-97aCLEAN_chunk_151.txt,3017410,14174
1896-97aCLEAN_chunk_152.txt,3031584,9946
1896-97aCLEAN_chunk_153.txt,3041530,33222
