file,text_file,offset
Schmidtetal._1895_LiterarischeRundschau_Notizen.txt,1895-96a CLEAN.txt,94408
Teler_1895_BauernbewegungInGalizien.txt,1895-96a CLEAN.txt,967120
Sorge_1895_VSArbeiterbewegung[3].txt,1895-96a CLEAN.txt,845728
SP+etal._1896_NotizenFeuilleton.txt,1895-96a CLEAN.txt,2758768
Schulz_1896_PestalozzisGeburtstage.txt,1895-96a CLEAN.txt,1635180
Sorge_1895_VSArbeiterbewegung[2].txt,1895-96a CLEAN.txt,474970
Sorge_1895_VSArbeiterbewegung[4].txt,1895-96a CLEAN.txt,941728
St.G._1896_StellenvermittlungFÃ¼rWeiblicheDienstboten.txt,1895-96a CLEAN.txt,2021013
Sorge_1895_VSArbeiterbewegung[1].txt,1895-96a CLEAN.txt,365823
